R	53.2364	-6.11691	E238	30 Sep 2022	E238\n15:10 - Malahide to Bray (0 mins late)\nDeparted Shankill next stop Bray	Southbound
R	53.2756	-6.10333	E239	30 Sep 2022	E239\n15:20 - Howth to Bray (0 mins late)\nDeparted Dalkey next stop Killiney	Southbound
R	53.2812	-6.12289	E831	30 Sep 2022	E831\n16:05 - Bray to Malahide (4 mins late)\nArrived Glenageary next stop Sandycove	Northbound
R	53.2812	-6.12289	P615	30 Sep 2022	P615\n14:50 - Drogheda to Bray (1 mins late)\nArrived Glenageary next stop Bray	Southbound
R	53.2954	-6.15206	E931	30 Sep 2022	E931\n15:55 - Bray to Howth (7 mins late)\nArrived Salthill and Monkstown next stop Seapoint	Northbound
R	53.2991	-6.16512	E830	30 Sep 2022	E830\n15:34 - Greystones to Malahide (13 mins late)\nArrived Seapoint next stop Blackrock	Northbound
R	53.3027	-6.17833	E120	30 Sep 2022	E120\n15:31 - Malahide to Greystones (5 mins late)\nDeparted Blackrock next stop Seapoint	Southbound
R	53.3099	-6.19498	E240	30 Sep 2022	E240\n15:40 - Howth to Bray (0 mins late)\nArrived Booterstown next stop Blackrock	Southbound
R	53.3223	-6.52356	A807	30 Sep 2022	A807\n13:10 - Westport to Dublin Heuston (6 mins late)\nDeparted Hazelhatch next stop Dublin Heuston	To Dublin Heuston
R	53.3223	-6.52356	P214	30 Sep 2022	P214\n15:25 - Portlaoise to Dublin Heuston (6 mins late)\nDeparted Hazelhatch next stop Adamstown	To Dublin Heuston
R	53.334	-6.37868	A518	30 Sep 2022	A518\n16:15 - Dublin Heuston to Waterford (3 mins late)\nDeparted Park West and Cherry Orchard next stop Athy	To Waterford
R	53.3433	-6.24829	E241	30 Sep 2022	E241\n15:52 - Malahide to Bray (1 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.3433	-6.24829	E930	30 Sep 2022	E930\n15:35 - Bray to Howth (6 mins late)\nArrived Dublin Pearse next stop Tara Street	Northbound
R	53.347	-6.25425	A609	30 Sep 2022	A609\n12:55 - Rosslare Europort to Dublin Connolly (30 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	P413	30 Sep 2022	P413\n15:50 - Hazelhatch to Grand Canal Dock (3 mins late)\nArrived Dublin Connolly next stop Tara Street	Northbound
R	53.3629	-6.22753	E121	30 Sep 2022	E121\n16:00 - Howth to Greystones (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3629	-6.22753	E829	30 Sep 2022	E829\n15:25 - Bray to Malahide (5 mins late)\nDeparted Clontarf Road next stop Killester	Northbound
R	53.3725	-6.29869	D922	30 Sep 2022	D922\n16:01 - Dublin Pearse to Maynooth (4 mins late)\nDeparted Broombridge next stop Pelletstown	Northbound
R	53.3725	-6.29869	P750	30 Sep 2022	P750\n15:50 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
R	53.3786	-6.19131	E242	30 Sep 2022	E242\n16:10 - Malahide to Bray (-2 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.3831	-6.4242	A910	30 Sep 2022	A910\n16:00 - Dublin Connolly to Sligo (0 mins late)\nDeparted Clonsilla next stop Maynooth	Northbound
R	53.3831	-6.4242	P670	30 Sep 2022	P670\n16:09 - Maynooth to Dublin Pearse (0 mins late)\nArrived Clonsilla next stop Coolmine	Southbound
R	53.3853	-6.44205	D310	30 Sep 2022	D310\n15:55 - Docklands to M3 Parkway (0 mins late)\nArrived Hansfield next stop Dunboyne	Northbound
R	53.387	-6.16163	E929	30 Sep 2022	E929\n15:04 - Greystones to Howth (7 mins late)\nArrived Kilbarrack next stop Howth Junction	Northbound
R	53.3891	-6.07401	E243	30 Sep 2022	E243\n16:20 - Howth to Bray (1 mins late)\nDeparted Howth next stop Sutton	Southbound
R	53.4273	-7.93683	A715	30 Sep 2022	A715\n15:05 - Galway to Dublin Heuston (8 mins late)\nDeparted Athlone next stop Clara	To Dublin Heuston
R	53.4855	-6.15134	P712	30 Sep 2022	P712\n15:50 - Drogheda to Dublin Connolly (2 mins late)\nDeparted Donabate next stop Malahide	Southbound
R	53.4933	-7.15576	A908	30 Sep 2022	A908\n15:00 - Dublin Connolly to Sligo (5 mins late)\nDeparted Killucan next stop Mullingar	Northbound
R	53.5201	-6.1439	D814	30 Sep 2022	D814\n15:43 - Dublin Pearse to Drogheda (3 mins late)\nDeparted Rush and Lusk next stop Skerries	Northbound
R	53.5741	-6.11933	P617	30 Sep 2022	P617\n16:02 - Drogheda to Dublin Pearse (0 mins late)\nArrived Skerries next stop Rush and Lusk	Southbound
R	53.6794	-6.24253	D813	30 Sep 2022	D813\n15:23 - Dublin Connolly to Drogheda (6 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.7243	-7.79574	A911	30 Sep 2022	A911\n15:05 - Sligo to Dublin Connolly (4 mins late)\nDeparted Longford next stop Edgeworthstown	Southbound
R	54.0007	-6.41291	A129	30 Sep 2022	A129\n14:05 - Belfast to Dublin Connolly (59 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0007	-6.41291	A130	30 Sep 2022	A130\n15:20 - Dublin Connolly to Belfast (1 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.3433	-6.24829	P616	30 Sep 2022	P616\n15:10 - Drogheda to Dublin Pearse(0 mins late)\nTERMINATED Dublin Pearse at 16:16	Southbound
T	53.3531	-6.24591	A909	30 Sep 2022	A909\n13:05 - Sligo to Dublin Connolly(2 mins late)\nTERMINATED Dublin Connolly at 16:15	Southbound
T	53.378	-6.58993	D921	30 Sep 2022	D921\n15:37 - Dublin Connolly to Maynooth(-3 mins late)\nTERMINATED Maynooth at 16:17	Northbound
T	53.3891	-6.07401	E928	30 Sep 2022	E928\n14:55 - Bray to Howth(5 mins late)\nTERMINATED Howth at 16:14	Northbound
T	53.4509	-6.15649	E828	30 Sep 2022	E828\n15:05 - Bray to Malahide(3 mins late)\nTERMINATED Malahide at 16:23	Northbound
T	54.2723	-8.48249	A906	30 Sep 2022	A906\n13:00 - Dublin Connolly to Sligo(3 mins late)\nTERMINATED Sligo at 16:20	Northbound
